urgent x fury   | Rambo: The Video Game
aTom Splitter 	| Mass Effect 2
TreborTreebeard | Brothers: A Tale of Two Sons
Lucas Kane	   	| The Saboteur
jive495         | 3D Dot Game Heroes
cerb3ro         | Singularity
DuncanTheGreat  | Legacy of Kain: Soul Reaver
TheHanna        | OutLand
TheOtherJZee    | Dante's Inferno
5thHorseman     | FTL: Faster Than Light
Angel Eye       | Star Wars: Republic Commando
twixsher        | Outlast
thefred         | Metro: Last Light
Pendragon       | Valkyria Chronicles
Teamosil	     	| Spec Ops: The Line
D-Voice			    | Oddworld: Abe's Oddysee
Nintendork327   | Super Metroid
