TOMdiggityTOM   | Shadow of the Colossus
Lance Freeman   | Bayonetta
musim           | Jade Empire
oLdemu          | Remember Me
5thHorseman     | FTL: Faster Than Light
Pendragon       | Valkyria Chronicles
Angel Eye       | Star Wars: Republic Commando
jive495         | 3D Dot Game Heroes
Fugazi          | Dark Souls
TreborTreebeard | Brothers: A Tale of Two Sons
Nintendork327   | Super Metroid
TheHanna        | OutLand
TheOtherJZee    | Dante's Inferno
DuncanTheGreat  | Legacy of Kain: Soul Reaver
urgent x fury   | Rambo: The Video Game
aTom Splitter   | Mass Effect 2
thefred         | Metro: Last Light
cerb3ro         | Singularity
Teamosil        | Spec Ops: The Line
jknob33         | Asura's Wrath
Thenimp         | Deadly Premonition
Gnarlythotep    | Grim Fandango
Lucas Kane      | The Saboteur
D-Voice         | Oddworld: Abe's Oddysee
Boston          | Syndicate (2013)
drewmaru        | Mischief Makers (N64)
Dimebag315  		| Max Payne 3
oDDb4LL			    | Binary Domain
twixsher        | Outlast
