Fugazi          | Dark Souls
Lance Freeman   | X-Men Legends
Boston			| Syndicate (2013)
Gnarlythotep	| Grim Fandango
oLdemu          | Remember Me
drewmaru		| Mischief Makers (N64)
TOMdiggityTOM   | Shadow of the Colossus
Thenimp			| Deadly Premonition
jknob33			| Asura's Wrath
musim           | Jade Empire
Dimebag315  		| Max Payne 3
oDDb4LL	    		| Binary Domain
jive495         | 3D Dot Game Heroes
DuncanTheGreat  | Legacy of Kain: Soul Reaver
5thHorseman     | FTL: Faster Than Light
TheHanna        | OutLand
urgent x fury   | Rambo: The Video Game
Teamosil	     	| Spec Ops: The Line
Pendragon       | Valkyria Chronicles
TheOtherJZee    | Dante's Inferno
TreborTreebeard | Brothers: A Tale of Two Sons
thefred         | Metro: Last Light
Angel Eye       | Star Wars: Republic Commando
Nintendork327   | Super Metroid
